430 -102.77803 -89.934989 -115.99832
429 -90.995428 -78.138617 -104.10695
428 -81.32 -68.45 -94.45
427 -73.416595 -60.533598 -86.607479
426 -67.078904 -54.181421 -80.001995
425 -61.59 -48.68 -74.68
424 -55.959153 -43.043248 -71.381854
423 -50.261827 -37.334986 -70.876901
422 -44.62 -31.68 -71.8
421 -38.975986 -26.035212 -71.322549
420 -33.44926 -20.508011 -69.274243
419 -28.02 -15.07 -65.59
418 -22.556879 -9.5930485 -59.829755
417 -17.205224 -4.2308695 -52.358051
416 -11.69 1.29 -43.14
415 -5.8629166 7.1232729 -32.157726
414 -1.9390677 11.055098 -21.864396
413 -0.23 12.77 -14.77
412 1.0882686 14.087758 -11.893964
411 2.3856842 15.388531 -10.641268
410 3.71 16.72 -9.28
409 5.0823812 18.093117 -7.9014758
408 6.14235 19.152114 -6.8500259
407 6.43 19.44 -6.56
406 5.7339569 18.743655 -7.2559567
405 4.8375868 17.848466 -8.1516875
404 4.49 17.5 -8.5
403 4.9982009 18.000277 -7.9996951
402 6.0086799 19.010486 -6.9895251
401 6.46 19.47 -6.53
400 5.3190043 18.330964 -7.6690344
399 3.800228 16.806856 -9.1931449
398 2.57 15.57 -10.43
397 1.2789701 14.278028 -11.721972
396 -0.02437641 12.976608 -13.023392
395 -1.27 11.73 -14.27
394 -2.4619415 10.531052 -15.468949
393 -3.5529792 9.4360301 -16.563969
392 -4.78 8.21 -17.79
391 -6.231707 6.7581755 -19.24183
390 -6.3451108 6.6455908 -19.354396
389 -6.16 6.83 -19.17
388 -8.4660305 4.5167393 -21.483333
387 -11.078943 1.9007599 -24.099058
386 -12.87 0.11 -25.89
385 -14.793831 -1.820862 -27.821867
384 -16.815647 -3.8460627 -29.843524
383 -18.76 -5.79 -31.79
382 -20.66168 -7.6984374 -33.71243
381 -22.824559 -9.8656377 -35.830272
380 -24.65 -11.69 -37.69
379 -25.060794 -12.100965 -38.805492
378 -24.925592 -11.964717 -41.260649
377 -25.31 -12.35 -44.32
376 -26.690554 -13.738778 -44.809271
375 -28.42262 -15.470031 -43.695117
374 -30.37 -17.41 -43.41
373 -33.076587 -20.121928 -45.917635
372 -36.636271 -23.68979 -49.770621
371 -40.37 -27.43 -53.43
370 -42.966106 -30.034879 -56.020211
369 -43.260728 -30.32777 -56.333573
368 -41.75 -28.81 -54.81
367 -40.617043 -27.683409 -53.682358
366 -42.209472 -29.280102 -55.280514
365 -46.17 -33.24 -59.24
364 -49.825086 -36.902111 -62.902063
363 -52.187061 -39.267359 -65.26732
362 -53.58 -40.66 -66.66
361 -54.600461 -41.687999 -67.688376
360 -53.689014 -40.77774 -66.776776
359 -53.18 -40.26 -66.26
358 -57.720255 -44.798767 -70.804089
357 -63.563214 -50.674331 -76.660881
356 -67.67 -54.78 -80.78
355 -70.341252 -57.377707 -83.451829
354 -73.76931 -61.06808 -86.880744
353 -79.52 -66.64 -92.64
352 -85.486909 -70.977284 -98.617072
351 -80.110831 -65.592127 -93.234723
350 -71.41 -58.52 -84.52
349 -80.668066 -67.985005 -93.786436
348 -95.060102 -82.077989 -108.20427
347 -105.4 -91.92 -118.57
346 -114.23417 -99.103153 -127.41414
345 -121.40653 -104.11379 -134.58538
344 -125.84 -108.14 -139.03
343 -126.41661 -111.87173 -139.6341
342 -122.36236 -109.90583 -135.51184
341 -114.62 -101.79 -127.79
340 -105.09833 -92.177791 -118.49221
339 -93.095391 -80.267783 -105.63633
338 -78.22 -65.34 -91.34
337 -61.50894 -48.59586 -80.948303
336 -45.62571 -32.697947 -72.1761
335 -30 -17.05 -59.65
334 -12.741646 0.23723041 -39.841811
333 -0.88528863 12.110602 -20.922035
332 3.42 16.42 -9.91
331 4.5896019 17.596345 -7.8648346
330 4.6227802 17.634521 -8.5835049
329 3.76 16.77 -9.23
328 1.6523685 14.655305 -11.305132
327 -0.16393672 12.834917 -13.180737
326 -1.08 11.92 -14.08
325 -1.9771843 11.023851 -14.973308
324 -4.0419684 8.9554275 -17.045696
323 -8.19 4.8 -21.2
322 -14.283689 -1.3002773 -27.300073
321 -19.381769 -6.4055982 -32.405679
320 -21.73 -8.76 -34.76
319 -21.822241 -8.8529185 -34.852904
318 -21.525021 -8.5545431 -34.554549
317 -21.15 -8.18 -34.18
316 -19.678057 -6.70947 -32.709469
315 -18.218153 -5.2443015 -31.244302
314 -17.11 -4.13 -30.13
313 -15.946859 -2.9733651 -28.973365
312 -16.54283 -3.5734561 -29.573456
311 -19.44 -6.47 -32.47
310 -23.372419 -10.409123 -36.409123
309 -27.19369 -14.234825 -40.234825
308 -29.46 -16.5 -42.5
307 -29.225896 -16.265833 -42.265833
306 -28.839564 -15.879275 -41.879275
305 -29.43 -16.47 -42.47
304 -30.720132 -17.765132 -43.765132
303 -34.876869 -21.93354 -47.93354
302 -42.03 -29.1 -55.1
301 -49.852613 -36.929718 -62.929718
300 -56.841791 -43.925465 -69.925465
299 -61.01 -48.1 -74.1
298 -60.719418 -47.809813 -73.809813
297 -58.505243 -45.595558 -71.595558
296 -55.55 -42.64 -68.64
295 -51.392565 -38.476559 -64.476558
294 -48.478271 -35.554575 -61.554576
293 -46.95 -34.02 -60.02
292 -43.935754 -30.999792 -56.999783
291 -36.890177 -23.944784 -49.944807
290 -27.12 -14.16 -40.16
289 -19.220949 -6.2449771 -32.24485
288 -15.87161 -2.8924052 -28.892725
287 -16.37 -3.4 -29.4
286 -17.471604 -4.5061829 -30.504418
285 -17.353481 -4.3737031 -30.378164
284 -18.01 -5.03 -31.03
